,order_id,order_price_total
1006,303269,59.98
1007,303271,49.99
1008,303275,19.99
1009,303279,29.99
1010,303283,49.99
1011,303286,22.99
1012,303297,111.97
1013,303302,19.99
1014,303313,19.99
1015,303314,29.99
1016,303315,276.96999999999997
1017,303316,26.98
1018,303339,52.99
1019,303341,579.99
1020,303343,54.99
1021,303346,191.98
1022,303347,49.99
1023,303353,79.99
1024,303355,103.99
1025,303362,309.99
1026,303364,263.98
1027,303366,88.97999999999999
1028,303367,29.979999999999997
1029,303376,56.980000000000004
1030,303394,179.98
1031,303397,39.99
1032,303419,355.98
1033,303422,285.99
1034,303427,12.99
1035,303434,50.97
1037,303445,19.99
1038,303455,35.98
1039,303470,155.89
1040,303471,19.41
1041,303472,118.99
1042,303473,167.99
1043,303482,14.99
1044,303484,39.98
1045,303486,60.99
1046,303505,54.99
1047,303507,109.99
1048,303521,142.98
1049,303522,17.99
1050,303524,86.99
1051,303527,49.99
1052,303542,79.98
1053,303546,39.99
1054,303548,34.99
1055,303554,27.98
1056,303556,29.979999999999997
1057,303557,48.75
1058,303560,9.0
1059,303565,371.99
1060,303573,52.99
1061,303583,69.99
1062,303588,49.99
1063,303593,129.99
1064,303595,412.4
1065,303596,38.99
1066,303597,64.99
1067,303599,149.97
1068,303600,34.99
1069,303613,69.99
1070,303614,112.99
1071,303621,213.98000000000002
1072,303624,159.99
1073,303643,173.96999999999997
1074,303645,41.99
1075,303658,8.99
1076,303660,569.99
1077,303663,39.98
1078,303671,82.99
1079,303693,125.99
1080,303694,148.99
1081,303697,9.0
1082,303699,123.99
1083,303703,96.98
1084,303704,154.98
1085,303705,54.99
1087,303713,169.98
1089,303738,123.99
1090,303741,17.99
1091,303745,49.9
1092,303748,105.98
1093,303756,12.98
1094,303762,29.98
1095,303763,138.99
1096,303769,22.99
1097,303773,14.99
1098,303774,156.99
1099,303775,155.99
1100,303776,609.99
1102,303790,234.98000000000002
1103,303805,125.99
1104,303814,79.98
1105,303819,49.99
1106,303821,16.99
1107,303822,99.97999999999999
1108,303823,78.99
1109,303828,39.99
1110,303837,29.99
1111,303838,39.99
1112,303839,29.99
1113,303840,411.99
1114,303841,39.99
1115,303844,16.99
1116,303856,54.99
1117,303858,112.99
1118,303864,52.99
1119,303867,17.99
1120,303878,45.99
1121,303885,188.99
1122,303895,125.99
1123,303898,29.99
1124,303906,59.99
1125,303917,32.99
1126,303920,44.99
1127,303932,107.98
1128,303935,84.97
1129,303937,44.99
1130,303939,59.0
1131,303943,124.97999999999999
1132,303944,42.99
1133,303956,49.99
1134,303964,19.99
1135,303978,55.980000000000004
1136,303991,66.98
1137,303992,49.99
1138,303996,44.99
1139,304003,109.0
1141,304010,52.99
1142,304012,112.99
1143,304015,49.99
1144,304019,82.99
1145,304020,266.99
1146,304026,49.99
1147,304027,125.96000000000001
1148,304035,99.98
1149,304042,228.99
1150,304053,39.99
1151,304055,16.99
1152,304082,3.99
1153,304083,12.99
1154,304085,229.99
1155,304087,52.99
1156,304102,889.99
1158,304108,52.99
1159,304118,49.99
1160,304128,81.99
1161,304130,54.99
1162,304134,33.05
1163,304138,34.99
1164,304142,36.99
1165,304146,25.99
1166,304157,29.99
1167,304165,57.96
1168,304168,89.99
1169,304169,171.99
1170,304172,44.99
1171,304174,54.99
1172,304175,24.98
1173,304182,921.98
1174,304185,33.05
1175,304187,29.9
1176,304188,646.97
1177,304190,19.98
1178,304193,118.99
1179,304194,59.99
1180,304197,47.98
1181,304199,49.99
1182,304200,180.99
1183,304209,151.98
1184,304214,14.99
1185,304217,29.99
1186,304222,39.99
1187,304227,19.0
1188,304236,21.98
1189,304237,404.99
1190,304238,9.99
1191,304239,59.99
1192,304253,11.99
1193,304263,24.78
1194,304264,635.54
1195,304266,157.99
1196,304278,42.26
1197,304283,33.9
1198,304285,649.99
1199,304291,29.99
1200,304317,125.99
1201,304324,1377.94
1202,304328,173.98000000000002
1203,304335,229.99
1204,304342,16.99
1205,304345,729.99
1206,304347,79.98
1207,304354,12.99
1208,304370,19.99
1209,304373,49.99
1210,304389,69.99
1211,304399,39.99
1212,304407,29.99
1213,304409,237.98
1214,304410,427.98
1215,304412,59.99
1216,304413,69.99
1217,304414,19.99
1218,304415,109.0
1219,304419,69.99
1220,304424,74.97999999999999
1221,304425,19.99
1222,304427,9.99
1223,304436,29.99
1224,304446,268.98
1225,304447,52.99
1226,304461,25.57
1227,304464,52.99
1228,304468,27.380000000000003
1229,304470,100.97999999999999
1230,304475,21.99
1231,304478,25.99
1232,304487,29.99
1233,304494,169.99
1234,304495,54.99
1235,304498,71.99
1236,304499,65.99
1237,304500,9.98
1238,304505,811.98
1239,304506,22.99
1240,304508,52.99
1241,304509,29.99
1242,304511,10.99
1243,304522,129.99
1244,304523,51.980000000000004
1245,304524,49.99
1246,304525,51.98
1247,304527,29.979999999999997
1248,304529,14.99
1249,304534,14.99
1250,304541,49.99
1251,304542,79.99
1252,304544,144.62
1253,304548,48.97
1254,304554,79.99
1255,304564,149.98
1256,304567,39.99
1257,304570,69.99
1258,304576,74.47
1259,304585,19.98
1260,304594,16.99
1261,304603,63.96
1263,304611,69.99
1264,304626,729.99
1265,304629,29.9
1266,304633,757.99
1267,304635,69.99
1268,304645,109.99
1269,304646,165.98
1270,304649,19.98
1271,304651,38.98
1272,304653,12.99
1273,304659,179.99
1274,304660,406.97
1275,304662,42.98
1276,304664,29.99
1277,304665,39.99
1278,304667,34.99
1279,304672,39.99
1280,304676,68.99
1281,304684,17.99
1282,304685,49.99
1283,304694,25.99
1284,304695,49.58
1285,304696,44.99
1286,304698,9.98
1287,304699,59.98
1288,304701,144.99
1289,304705,29.99
1290,304709,54.99
1291,304710,52.99
1292,304713,19.99
1293,304714,250.98000000000002
1294,304717,17.99
1295,304718,46.98
1296,304720,12.99
1297,304723,34.99
1298,304724,169.99
1299,304726,78.97
1300,304731,69.99
1301,304732,69.99
1302,304733,138.0
1303,304738,515.69
1304,304739,188.99
1305,304740,729.99
1306,304746,78.99
1307,304758,49.99
1308,304761,19.99
1309,304764,64.99
1310,304765,29.99
1311,304782,836.99
1312,304785,45.99
1313,304787,28.99
1314,304788,130.98
1315,304793,35.99
1316,304813,808.0
1317,304823,39.99
1318,304825,39.99
1319,304830,86.98
1320,304834,104.17
1321,304840,24.99
1322,304851,17.99
1323,304852,548.98
1324,304859,50.980000000000004
1325,304860,48.76
1326,304862,39.99
1327,304864,62.99
1328,304865,1159.98
1329,304873,36.99
1330,304875,62.980000000000004
1331,304877,88.98
1332,304883,82.99
1333,304890,82.98
1334,304896,19.99
1335,304905,59.99
1336,304912,54.99
1337,304913,36.99
1338,304926,174.99
1339,304931,159.99
1340,304937,59.99
1341,304956,169.99
1342,304957,14.99
1343,304964,19.99
1344,304966,189.99
1345,304967,49.58
1346,304968,66.86
1347,304970,850.24
1348,304979,18.99
1349,304982,262.99
1350,304984,56.99
1351,304988,189.99
1352,304995,111.97
1353,305000,79.99
1354,305005,569.99
1355,305008,36.99
1356,305009,69.99
1357,305020,102.96
1358,305022,59.98
1359,305029,94.99
1360,305030,167.99
1361,305056,287.97
1362,305057,167.99
1363,305066,26.99
1364,305067,24.97
1365,305072,12.99
1366,305073,83.99
1367,305078,36.99
1368,305094,39.99
1369,305102,33.1
